symptom,treatment,bodypart,diagnosis,others
rash on arms,antihistamine + cream,skin,eczema,allergy
fatigue and dizziness,iron supplement,whole body,anemia,malnutrition
pain after meal,antacid + diet change,abdomen,gastritis,spicy food
nausea after travel,antiemetic,stomach,motion sickness,long travel
dry cough,expectorant + rest,throat,flu,viral infection
sore neck,analgesic + physiotherapy,neck,muscle strain,bad posture
watery eyes,antihistamine drops,eyes,allergy,dust
pain in joints,NSAID + rest,joints,arthritis,obesity
itching on feet,antifungal cream,feet,athlete’s foot,sweating
lower back pain,analgesic + rest,back,strain,lifting
stiff joints,NSAID + exercise,knees,arthritis,old age
eye strain,lubricating drops,eyes,fatigue,screen exposure
frequent urination,antidiabetic drug + diet,pancreas,diabetes mellitus type 2,obesity
loss of taste,rest + fluids,mouth,common cold,viral
sore shoulders,pain relief cream,shoulders,muscle strain,repetitive work
swelling on face,antihistamine,face,allergy,insect bite
breathlessness on exertion,bronchodilator,lungs,asthma,activity
tired eyes,lubricating drops + rest,eyes,eye strain,computer use
heartburn,PPI + diet control,chest,GERD,spicy food
sneezing and congestion,antihistamine + spray,nose,rhinitis,pollen
heaviness in stomach,digestive enzyme + rest,stomach,indigestion,overeating
pain during swallowing,antibiotic + gargle,throat,pharyngitis,cold drink
painful urination,antibiotic + fluids,urinary tract,UTI,poor hygiene
lightheadedness,rest + fluids,brain,low blood pressure,dehydration
stiffness in shoulders,physiotherapy,shoulders,frozen shoulder,strain
cold feet,circulation therapy,legs,poor circulation,cold weather
dry skin,moisturizer,skin,eczema,winter dryness
chest pain,antiplatelet + rest,chest,angina,physical exertion
fever with chills,antipyretic + fluids,body,malaria,mosquito bite
abdominal discomfort,antacid + diet change,stomach,gastritis,spicy food
sore tongue,antifungal mouthwash,mouth,oral thrush,poor hygiene
bloating and cramps,probiotics + rest,abdomen,IBS,stress
ear fullness,antibiotic drops,ear,ear infection,swimming
watery discharge from nose,decongestant + rest,nose,sinusitis,infection
weakness after exertion,rest + hydration,body,fatigue,overwork
painful wrist,analgesic + rest,wrist,tendonitis,repetitive motion
swelling in joints,anti-inflammatory,knees,arthritis,aging
skin itching,antihistamine + cream,skin,dermatitis,allergic reaction
vomiting,antiemetic + fluids,stomach,gastroenteritis,infection
mild fever,antipyretic + fluids,whole body,viral infection,seasonal flu
cough with phlegm,expectorant + rest,chest,bronchitis,cold weather
sore throat,lozenges + antibiotic,throat,tonsillitis,infection
nasal congestion,decongestant spray,nose,sinusitis,dust exposure
fatigue,vitamin supplement + rest,whole body,anemia,low hemoglobin
nausea,antiemetic + hydration,stomach,gastritis,spicy food
bloating,antacid + diet change,stomach,indigestion,overeating
headache,NSAID + rest,head,migraine,stress
body ache,antipyretic + rest,whole body,flu,viral infection
dry cough,cough suppressant,throat,common cold,infection
itchy rash,antihistamine + cream,skin,eczema,allergy
breathlessness,bronchodilator,lungs,asthma,dust exposure
loss of appetite,digestive enzyme,stomach,gastritis,irregular meals
dizziness,rest + fluids,whole body,dehydration,heat
constipation,laxative + fiber diet,stomach,IBS,poor diet
back pain,analgesic + rest,back,muscle strain,lifting
sore eyes,lubricating drops,eyes,conjunctivitis,screen use
muscle cramps,electrolyte solution,legs,dehydration,exercise
swelling in legs,diuretic + rest,legs,edema,heart failure
chest tightness,bronchodilator,chest,asthma,pollution
weakness,vitamin supplement,whole body,fatigue,malnutrition
runny nose,nasal spray,nose,sinusitis,cold air
vomiting,antiemetic + rest,stomach,food poisoning,contaminated food
back stiffness,physiotherapy,back,strain,posture issue
leg pain,analgesic + rest,legs,muscle fatigue,overexertion
joint swelling,anti-inflammatory,joints,arthritis,aging
tooth pain,antibiotic + painkiller,teeth,dental abscess,poor hygiene
throat irritation,gargle + lozenges,throat,pharyngitis,cold exposure
skin redness,soothing lotion,skin,dermatitis,allergic reaction
hair loss,vitamin supplement,scalp,alopecia,stress
chest heaviness,nitrate + rest,chest,angina,exertion
persistent cough,bronchodilator,chest,COPD,smoking
tiredness,multivitamin + rest,whole body,anemia,iron deficiency
sore tongue,antifungal mouthwash,mouth,oral thrush,infection
blurred vision,corrective glasses,eyes,myopia,long screen time
fever with chills,antipyretic + fluids,whole body,malaria,mosquito bite
swelling in ankles,diuretic + rest,legs,edema,kidney issue
rash on arms,steroid cream,skin,eczema,allergy
sore joints,NSAID + physiotherapy,joints,arthritis,age-related
nausea after eating,antacid,stomach,gastritis,overeating
dry mouth,saliva substitute,mouth,dehydration,medication side effect
skin peeling,emollient,skin,dry skin,cold weather
itchy hands,antihistamine cream,hands,dermatitis,soap allergy
eye strain,lubricating drops,eyes,fatigue,prolonged screen time
shortness of breath,bronchodilator,lungs,asthma,dust exposure
chest pressure,antiplatelet + rest,chest,angina,hypertension
mild headache,NSAID,head,tension headache,stress
sore neck,physiotherapy,neck,cervical strain,posture
burning chest,antacid,chest,GERD,spicy food
watery discharge nose,nasal spray,nose,rhinitis,infection
painful swallowing,antibiotic + gargle,throat,tonsillitis,bacterial
itchy feet,antifungal cream,feet,athlete’s foot,humidity
cold hands,circulation therapy,hands,Raynaud’s,cold weather
sneezing and congestion,antihistamine + decongestant,nose,allergic rhinitis,pollen
cracked heels,moisturizer,feet,dry skin,barefoot walking
swollen throat,antibiotic + rest,throat,pharyngitis,bacterial infection
tired legs,physiotherapy + rest,legs,fatigue,overuse
sore mouth,antifungal gel,mouth,oral thrush,poor hygiene
pain in calf,rest + warm compress,legs,muscle strain,walking
rash on neck,steroid cream,neck,dermatitis,perfume allergy
dry cough at night,cough syrup,throat,flu,viral
heavy breathing,bronchodilator,chest,COPD,pollution
itching on arms,antihistamine,arms,eczema,allergy
joint pain,NSAID,knees,osteoarthritis,aging
bloating after eating,antacid,stomach,indigestion,overeating
red itchy eyes,antihistamine drops,eyes,allergy,pollen
swelling under eyes,cold compress,eyes,allergy,lack of sleep
nausea and dizziness,hydration + rest,whole body,dehydration,heat
fatigue after work,rest + vitamins,whole body,tiredness,overwork
sore shoulder,physiotherapy,shoulder,muscle strain,posture
low back pain,analgesic + rest,back,muscle strain,lifting
painful urination,antibiotic,urinary tract,UTI,poor hygiene
joint stiffness,warm compress,knees,arthritis,aging
muscle weakness,vitamin therapy,arms,deficiency,poor diet
sneezing,antihistamine,nose,common cold,weather change
heavy chest,bronchodilator + oxygen,chest,asthma,exertion
nausea,antiemetic + fluids,stomach,gastritis,food irritation
weakness,multivitamins,whole body,anemia,poor diet
fatigue and headache,hydration + rest,whole body,dehydration,summer heat
eye irritation,antibiotic drops,eyes,conjunctivitis,dust exposure
chest pain,nitrate + rest,chest,angina,physical stress
fever,paracetamol + fluids,whole body,viral infection,mild cold
sore throat,lozenges + warm saline gargle,throat,pharyngitis,cold weather
headache,NSAID + hydration,head,migraine,stress
fatigue,vitamin supplement + rest,whole body,anemia,poor nutrition
chest pain,nitrate + rest,chest,angina,exertion
cough with mucus,expectorant + rest,chest,bronchitis,cold exposure
runny nose,antihistamine + nasal drops,nose,allergic rhinitis,dust
fever,antipyretic + fluids,whole body,viral infection,mild flu
bloating,antacid + diet control,abdomen,indigestion,overeating
breathlessness,bronchodilator + oxygen,lungs,asthma,pollen exposure
eye redness,antibiotic drops,eyes,conjunctivitis,dust exposure
ear pain,antibiotic drops,ear,otitis media,swimming
dry cough,cough suppressant,throat,common cold,viral
rash,antihistamine cream,skin,dermatitis,contact allergy
dizziness,hydration + rest,whole body,dehydration,heat exposure
sore joints,NSAID + physiotherapy,joints,arthritis,obesity
tiredness,vitamin supplement,whole body,fatigue,lack of sleep
stiff back,analgesic + physiotherapy,back,muscle strain,poor posture
eye irritation,lubricating drops,eyes,dry eye syndrome,prolonged screen use
tooth pain,antibiotic + analgesic,teeth,dental abscess,poor hygiene
runny eyes,antihistamine drops,eyes,allergy,dust
chest heaviness,antiplatelet + rest,chest,angina,hypertension
pain during urination,antibiotic + hydration,urinary tract,UTI,poor hygiene
weakness,multivitamin supplement,whole body,fatigue,malnutrition
swollen feet,diuretics + rest,legs,edema,fluid retention
nasal blockage,steam inhalation,nose,sinusitis,cold weather
mild fever,antipyretic + fluids,whole body,flu,viral infection
itchy skin,antihistamine + cream,skin,eczema,detergent reaction
chest congestion,bronchodilator + steam,lungs,bronchitis,cold weather
loss of sleep,sedative + relaxation,brain,insomnia,anxiety
breathlessness,oxygen therapy,lungs,COPD,smoking
tingling feet,vitamin B complex,feet,neuropathy,diabetes
pain after walking,rest + warm compress,legs,muscle fatigue,overuse
bloating after meals,digestive enzyme,stomach,indigestion,heavy food
red eyes,antibiotic drops,eyes,conjunctivitis,allergy
sore neck,analgesic + rest,neck,muscle strain,posture
cough,expectorant + rest,throat,cold,infection
fatigue after exertion,rest + fluids,whole body,exhaustion,overwork
swelling in joints,anti-inflammatory + rest,joints,gout,high uric acid
dryness on hands,emollient cream,hands,dry skin,winter
muscle cramps,electrolyte supplement,legs,dehydration,exercise
lightheadedness,hydration,head,dehydration,heat
itchy rash,antihistamine cream,skin,urticaria,insect bite
nausea and dizziness,rest + fluids,whole body,dehydration,heat
dry lips,lip balm,mouth,dehydration,sun exposure
back stiffness,physiotherapy,back,muscle strain,bad posture
eye swelling,cold compress,eyes,allergy,insect bite
leg pain,analgesic + rest,legs,muscle cramp,exertion
dry eyes,lubricating drops,eyes,eye strain,computer use
shortness of breath,bronchodilator + rest,chest,asthma,exertion
sore shoulder,physiotherapy,shoulder,frozen shoulder,strain
runny nose,decongestant + rest,nose,sinusitis,infection
burning urination,antibiotic,urinary tract,UTI,bacterial
weakness after meals,rest + hydration,whole body,fatigue,overeating
chest pain,nitrate + monitoring,chest,angina,exertion
sneezing,antihistamine,nose,rhinitis,pollen
swelling in ankles,diuretics,legs,edema,heart condition
sore eyes,antibiotic + lubricating drops,eyes,conjunctivitis,dust exposure
nausea,antiemetic,stomach,gastritis,food poisoning
dry mouth,hydration + saliva stimulant,mouth,dehydration,medication effect
fever with chills,antipyretic,whole body,malaria,mosquito bite
back pain,physiotherapy,back,lumbar strain,lifting
itchy palms,antihistamine,hands,allergy,contact irritation
cough at night,cough suppressant,throat,flu,cold air
shortness of breath,bronchodilator,lungs,asthma,pollen
fatigue,vitamin D supplement,whole body,vitamin D deficiency,lack of sunlight
pain in calf,rest + hydration,legs,muscle cramp,walking
nasal congestion,nasal spray + steam,nose,sinusitis,infection
hair fall,vitamin supplement,scalp,alopecia,stress
body ache,rest + fluids,whole body,viral fever,infection
sore joints,pain relief + physiotherapy,knees,arthritis,aging
bloating,probiotic + rest,stomach,indigestion,diet
stiff neck,analgesic + rest,neck,cervical strain,poor posture
loss of appetite,antacid,stomach,gastritis,irregular eating
chest heaviness,bronchodilator + rest,lungs,asthma,pollution
fatigue and headache,rest + fluids,whole body,exhaustion,overwork
rash on face,soothing cream,face,dermatitis,cosmetic reaction
itchy arms,antihistamine cream,arms,eczema,allergy
mild fever,antipyretic + fluids,body,viral infection,weather change
sore throat,lozenges + warm salt water gargle,throat,tonsillitis,cold exposure
cough with sputum,expectorant + hydration,chest,bronchitis,pollution
mild fever,antipyretic + rest,whole body,viral infection,seasonal change
runny nose,antihistamine + nasal spray,nose,allergic rhinitis,pollen exposure
chest pain,antiplatelet + oxygen therapy,chest,angina,stress
fatigue,iron supplement + diet change,whole body,anemia,low hemoglobin
stomach ache,antacid + fluids,abdomen,gastritis,spicy food
bloating,digestive enzyme + probiotics,stomach,indigestion,overeating
dry cough,cough suppressant + steam,throat,common cold,viral infection
itching,antihistamine + cream,skin,eczema,allergic reaction
burning urination,antibiotic + hydration,urinary tract,UTI,infection
shortness of breath,bronchodilator + rest,lungs,asthma,dust exposure
headache,NSAID + rest,head,tension headache,stress
nasal congestion,decongestant spray + steam,nose,sinusitis,cold air
sore eyes,lubricating drops + antibiotic,eyes,conjunctivitis,dust irritation
joint pain,NSAID + physiotherapy,knees,arthritis,aging
body ache,analgesic + rest,whole body,flu,viral infection
chest tightness,bronchodilator inhaler,lungs,asthma,physical exertion
ear pain,antibiotic drops,ear,otitis media,water exposure
fatigue and weakness,vitamin supplement,whole body,fatigue,poor diet
swollen ankles,diuretic + salt restriction,legs,edema,kidney issue
pain in legs,rest + analgesic,legs,muscle cramp,overexertion
dry mouth,hydration + oral rinse,mouth,dehydration,medication side effect
back pain,physiotherapy + analgesic,back,lumbar strain,poor posture
burning chest,antacid + diet modification,chest,GERD,spicy food
sneezing fits,antihistamine,nose,allergic rhinitis,dust
joint stiffness,NSAID + warm compress,knees,arthritis,aging
rash,steroid cream,skin,dermatitis,chemical exposure
constipation,laxative + high-fiber diet,stomach,IBS,poor diet
lightheadedness,hydration + rest,head,hypotension,heat exhaustion
burning eyes,lubricating drops,eyes,dry eye syndrome,screen use
shortness of breath at night,bronchodilator,lungs,COPD,smoking
bloating after meals,antacid + enzyme,stomach,indigestion,overeating
tooth sensitivity,desensitizing toothpaste,teeth,enamel erosion,cold drinks
muscle stiffness,physiotherapy + rest,arms,strain,overuse
watery eyes,antihistamine drops,eyes,allergic conjunctivitis,dust
nausea,antiemetic + rest,stomach,gastritis,overeating
skin peeling,emollient + moisturizer,skin,dry skin,cold weather
sore joints,NSAID + rest,joints,osteoarthritis,aging
dry throat,honey + warm water,throat,pharyngitis,dehydration
numbness in hands,vitamin B supplement,hands,neuropathy,repetitive strain
itchy arms,antihistamine lotion,arms,eczema,detergent use
cold feet,circulation therapy,feet,poor circulation,cold exposure
runny eyes,lubricating drops,eyes,allergy,dust
weakness,multivitamin + rest,whole body,fatigue,lack of sleep
sore neck,analgesic + physiotherapy,neck,cervical spondylosis,bad posture
sneezing,antihistamine + nasal spray,nose,rhinitis,pollen exposure
nausea after travel,antiemetic,stomach,motion sickness,long journey
swelling in hands,anti-inflammatory + rest,hands,arthritis,repetitive strain
mild headache,rest + fluids,head,migraine,tension
itchy palms,antihistamine cream,hands,allergy,contact irritation
stiffness in back,physiotherapy,back,muscle strain,lifting
sore shoulder,rest + heat therapy,shoulder,frozen shoulder,repetitive motion
cold hands,circulation therapy,hands,Raynaud’s,low temperature
fatigue after work,rest + hydration,whole body,tiredness,overexertion
dryness on legs,moisturizing cream,legs,eczema,winter
itchy rash,antihistamine + cream,skin,urticaria,insect bite
pain on swallowing,gargle + antibiotic,throat,pharyngitis,bacterial infection
blurred vision,corrective lenses,eyes,myopia,screen use
frequent thirst,hydration + rest,whole body,dehydration,heat
rash on face,soothing cream,face,dermatitis,cosmetic allergy
sore muscles,rest + warm compress,arms,muscle fatigue,gym activity
swollen neck,antibiotic + rest,neck,lymphadenitis,bacterial infection
heavy breathing,bronchodilator + oxygen,chest,asthma,physical exertion
blocked nose,decongestant + steam,nose,sinusitis,infection
dry cough at night,cough suppressant,throat,flu,cold weather
swelling of feet,diuretic + rest,legs,edema,prolonged standing
back stiffness,physiotherapy + rest,back,muscle strain,sitting posture
weakness in legs,rest + vitamins,legs,fatigue,overuse
headache with nausea,NSAID + rest,head,migraine,dehydration
eye strain,lubricating drops,eyes,fatigue,long screen time
chest pressure,bronchodilator + rest,chest,asthma,pollution exposure
dry eyes,lubricating drops,eyes,dry eye syndrome,low humidity
loss of taste,rest + hydration,mouth,viral infection,cold
swollen joints,anti-inflammatory,joints,gout,uric acid buildup
shortness of breath,oxygen + bronchodilator,lungs,COPD,smoking
dizziness,hydration + rest,whole body,low blood pressure,hot weather
itchy legs,antihistamine + lotion,legs,eczema,dryness
pain in shoulder,physiotherapy,shoulder,strain,heavy lifting
sore wrist,cold compress,wrist,tendonitis,repetitive motion
stomach cramps,antispasmodic + fluids,abdomen,gastritis,indigestion
nasal discharge,decongestant,nose,sinusitis,cold
tiredness after meals,hydration + rest,whole body,fatigue,overeating
eye burning,lubricating drops,eyes,dry eye,prolonged screen use
red patches,steroid cream,skin,psoriasis,stress
stiffness in joints,NSAID + exercise,knees,arthritis,old age
ear itching,antifungal drops,ear,fungal infection,moisture
mild fever,antipyretic + fluids,whole body,viral infection,weather change
chest heaviness,nitrate + rest,chest,angina,overexertion
fatigue,vitamin supplement + diet,whole body,anemia,low iron
cough,expectorant + rest,throat,bronchitis,dust exposure
sore throat,lozenges + warm water gargle,throat,pharyngitis,cold
body ache,rest + paracetamol,whole body,flu,viral
runny nose,nasal drops + antihistamine,nose,sinusitis,pollen
nausea,antiemetic + hydration,stomach,gastritis,overeating
bloating,probiotic + antacid,stomach,indigestion,heavy meal
burning urination,antibiotic + fluids,urinary tract,UTI,poor hygiene
shortness of breath,bronchodilator,lungs,asthma,physical exertion
sore eyes,lubricating drops + antibiotic,eyes,conjunctivitis,dust exposure
dry skin,moisturizer + rest,skin,eczema,cold weather
fatigue after exercise,rest + fluids,whole body,exhaustion,overexertion
itchy scalp,medicated shampoo,scalp,dandruff,oily hair
nasal congestion,steam inhalation + decongestant,nose,sinusitis,cold
chest tightness,bronchodilator + rest,chest,asthma,dust allergy
burning chest,antacid + rest,chest,GERD,spicy food
itching on hands,antihistamine cream,hands,eczema,detergent exposure
mild cough,cough syrup + rest,throat,common cold,viral
weakness,vitamin supplement + hydration,whole body,fatigue,poor diet
rash,steroid cream,skin,dermatitis,allergy
swollen throat,antibiotic + rest,throat,tonsillitis,infection
pain in shoulder,physiotherapy,shoulder,strain,overuse
swollen ankles,diuretic + rest,legs,edema,standing long hours
blurred vision,corrective glasses,eyes,myopia,eye strain
nausea and vomiting,antiemetic + hydration,stomach,food poisoning,contaminated food
runny eyes,antihistamine drops,eyes,allergy,pollen exposure
dry lips,lip balm + hydration,mouth,dehydration,heat
red itchy eyes,lubricating drops,eyes,conjunctivitis,allergy
sore joints,NSAID + physiotherapy,joints,osteoarthritis,age-related
stiffness in back,warm compress + rest,back,muscle strain,lifting
cough with mucus,expectorant,chest,bronchitis,cold exposure
itchy rash,antihistamine lotion,skin,urticaria,insect bite
pain in legs,rest + warm compress,legs,muscle fatigue,walking
nasal blockage,decongestant + steam,nose,sinusitis,cold
burning sensation in eyes,lubricating drops,eyes,dry eye syndrome,prolonged screen use
fatigue and headache,rest + hydration,whole body,dehydration,sun exposure
chest congestion,bronchodilator + steam,chest,bronchitis,pollution
flank pain,hydration + analgesic,abdomen,kidney stone,dehydration
burning urination,lithotripsy + antibiotic,urinary tract,bladder stone,stone formation
lower back pain,analgesic + rest,back,herniated disc,heavy lifting
joint swelling,anti-inflammatory + diet change,joints,gout,high uric acid
abdominal discomfort,surgical removal,gallbladder,gallstones,fatty food intake
dry scaly skin,topical steroids,skin,psoriasis,autoimmune reaction
numbness on one side,physiotherapy,face,Bell’s palsy,viral infection
burning skin patch,antiviral + pain relief,skin,shingles,post-viral reaction
swelling in fingers,corticosteroids,hands,rheumatoid arthritis,autoimmune disorder
abdominal pain,antibiotics,abdomen,diverticulitis,infection
frequent urination,alpha blocker,bladder,bladder stone,obstruction
side pain,hydration + analgesic,flank,ureteric stone,low water intake
fatigue,thyroid replacement,neck,hypothyroidism,hormonal imbalance
weight loss,hormone therapy,thyroid,hyperthyroidism,overactive gland
persistent cough,inhaler + steroid,lungs,pulmonary fibrosis,long-term inflammation
skin rash,immunosuppressant,skin,lupus,autoimmune disease
numbness in legs,vitamin B12 supplement,spine,neuropathy,deficiency
swelling of legs,diuretic + compression,legs,varicose veins,poor circulation
back pain after bending,physiotherapy,spine,slipped disc,posture strain
blood in urine,surgical intervention,kidneys,kidney stone,urinary blockage
joint pain,uric acid control drugs,knees,gout,purine-rich diet
sudden chest pain,anticoagulant,chest,pulmonary embolism,blood clot
shortness of breath,bronchodilator + oxygen,lungs,emphysema,smoking history
skin thickening,topical steroid,skin,eczema,chronic irritation
neck swelling,thyroid medication,neck,goiter,iodine deficiency
leg cramp,electrolyte replacement,legs,peripheral neuropathy,circulation issue
hand tremor,beta blocker,hands,essential tremor,aging
pain after urination,antibiotic + hydration,bladder,cystitis,infection
dry patchy scalp,medicated shampoo,scalp,seborrheic dermatitis,stress
itchy red patch,antifungal cream,skin,ringworm,fungal infection
brittle nails,supplement + cream,fingers,nail psoriasis,chronic skin issue
tingling in fingers,nerve supplement,hands,carpal tunnel syndrome,repetitive motion
fatigue + swelling,diuretics + low-salt diet,legs,heart failure,poor circulation
abdominal bloating,diet modification,stomach,irritable bowel syndrome,stress
light sensitivity,antiviral drops,eyes,viral keratitis,infection
pain in joints,corticosteroid injection,joints,bursitis,inflammation
leg stiffness,physiotherapy,legs,sciatica,nerve compression
pelvic pain,antibiotics,pelvis,pelvic inflammatory disease,bacterial infection
frequent urination at night,fluid restriction,bladder,nocturia,enlarged prostate
burning sensation in chest,proton pump inhibitor,chest,peptic ulcer,spicy food
hair thinning,nutritional supplements,scalp,androgenic alopecia,hormonal imbalance
itchy rash on face,topical antibiotic,face,rosacea,sensitive skin
red scaly elbows,topical steroid,arms,psoriasis,autoimmune
yellow eyes,rest + fluids,liver,hepatitis,viral infection
sharp flank pain,hydration + rest,flank,kidney stone,low fluid intake
cloudy urine,antibiotics,urinary tract,infection,bacterial cause
severe back pain,physiotherapy,back,slipped disc,lifting injury
leg swelling,compression stockings,legs,varicose veins,prolonged standing
mild fever + joint pain,antipyretic + rest,whole body,dengue fever,mosquito bite
itchy patches on scalp,medicated shampoo,scalp,psoriasis,stress-related
abdominal swelling,low-salt diet + diuretics,abdomen,liver cirrhosis,chronic alcohol use
joint pain with stiffness,immunosuppressant,joints,rheumatoid arthritis,autoimmune
chronic cough,inhaled corticosteroid,lungs,chronic bronchitis,smoking
itchy red scalp,medicated shampoo,scalp,seborrheic dermatitis,stress
flank tenderness,hydration + analgesic,flank,renal calculi,stone obstruction
nausea + upper pain,proton pump inhibitor,stomach,peptic ulcer disease,H. pylori infection
yellow skin,antiviral + rest,liver,hepatitis B,viral exposure
swelling in hands,corticosteroid,fingers,lupus erythematosus,autoimmune response
abdominal cramping,anti-inflammatory,colon,ulcerative colitis,chronic inflammation
persistent diarrhea,hydration + probiotics,intestines,Crohn’s disease,bowel inflammation
neck lump,thyroid hormone therapy,neck,goiter,iodine deficiency
sudden facial weakness,corticosteroid + physiotherapy,face,Bell’s palsy,viral infection
weakness in legs,physiotherapy + rest,spine,sciatica,nerve compression
pain on urination,antibiotic + hydration,bladder,cystitis,infection
red patchy rash,steroid ointment,skin,psoriasis,immune disorder
burning while eating,antifungal mouthwash,mouth,oral candidiasis,antibiotic side effect
muscle weakness,electrolyte correction,limbs,hypokalemia,potassium loss
pain under ribs,rest + fluids,abdomen,spleen enlargement,infection
itching all over,antihistamine + lotion,skin,cholestasis,bile retention
joint swelling,uric acid-lowering agent,toes,gout,red meat intake
pain during urination,antibiotic + rest,urinary tract,prostatitis,infection
light-headedness,hydration + rest,whole body,postural hypotension,dehydration
night sweats,anti-tuberculosis therapy,lungs,tuberculosis,bacterial infection
back stiffness,stretching + rest,spine,ankylosing spondylitis,inflammatory arthritis
pelvic pain,antibiotics,pelvis,endometriosis,hormonal cause
abdominal tenderness,antispasmodic,abdomen,diverticulitis,inflammation
itchy ears,antifungal drops,ear,otomycosis,moisture
persistent sore throat,antibiotic + gargle,throat,chronic tonsillitis,bacterial infection
pain on chewing,anti-inflammatory,jaw,temporomandibular disorder,muscle strain
rash with fever,antiviral + rest,skin,chickenpox,viral infection
heel pain,physiotherapy + rest,heel,plantar fasciitis,long standing hours
yellow nails,topical antifungal,nails,onychomycosis,fungal growth
numbness in toes,vitamin therapy,feet,peripheral neuropathy,diabetes
puffiness under eyes,antihistamine,face,allergy,dust exposure
abdominal bloating,dietary fiber + rest,stomach,irritable bowel syndrome,stress
chest pain after meal,PPI + small meals,chest,GERD,overeating
finger stiffness,warm compress,fingers,trigger finger,repetitive motion
fatigue with weight gain,thyroid hormone replacement,body,hypothyroidism,metabolic slowdown
tender skin nodules,NSAID + rest,legs,erythema nodosum,inflammation
shoulder pain,physiotherapy,shoulder,bursitis,overuse
excessive sweating,topical antiperspirant,skin,hyperhidrosis,anxiety
knee swelling,steroid injection,knees,gout,uric acid accumulation
numbness on face,physiotherapy,face,Bell’s palsy,viral reactivation
side pain,hydration,flank,ureteric stone,stone migration
hand tremor,beta blocker,hands,essential tremor,stress trigger
rash on scalp,medicated shampoo,scalp,psoriasis,stress-related
burning tongue,antifungal gel,mouth,oral thrush,poor hygiene
leg heaviness,compression stockings,legs,varicose veins,long standing
back pain + stiffness,physiotherapy,spine,lumbar spondylosis,posture issue
abdominal fullness,digestive enzyme + rest,abdomen,fatty liver disease,high cholesterol
persistent itching,antihistamine,skin,eczema,dryness
abdominal tenderness,rest + antibiotics,abdomen,appendicitis,infection
flank pain,hydration + pain relief,flank,kidney stone,dehydration
joint stiffness,NSAID + light exercise,joints,rheumatoid arthritis,autoimmune
pale skin,iron supplement,whole body,iron deficiency anemia,low hemoglobin
abdominal bloating,low-fat diet + medication,abdomen,gallbladder disease,fatty food
yellowish skin,antiviral therapy,liver,hepatitis C,viral infection
neck lump,hormone replacement,neck,thyroiditis,autoimmune inflammation
tingling sensation in fingers,vitamin B complex,hands,peripheral neuropathy,diabetes
sharp side pain,hydration,abdomen,ureteric stone,stone passage
swelling in legs,diuretic + rest,legs,lymphedema,circulation issue
recurring cough,inhaled steroid,lungs,asthma,environmental trigger
burning chest pain,proton pump inhibitor,chest,acid reflux,spicy diet
facial rash,topical corticosteroid,face,rosacea,sunlight exposure
weight loss + fatigue,glucose control,whole body,diabetes mellitus,high blood sugar
frequent urination,antibiotic + hydration,bladder,cystitis,bacterial infection
itchy scalp patches,medicated shampoo,scalp,psoriasis,chronic condition
abdominal cramps,antispasmodic + diet control,stomach,irritable bowel syndrome,stress
muscle weakness,electrolyte replacement,limbs,hypokalemia,low potassium
neck stiffness,physiotherapy,neck,cervical spondylosis,poor posture
swelling in ankles,low-salt diet + diuretic,legs,heart failure,fluid retention
mild fever + rash,antiviral medication,skin,measles,viral infection
chronic diarrhea,anti-inflammatory + probiotics,colon,ulcerative colitis,bowel inflammation
back stiffness,physiotherapy + heat pack,spine,ankylosing spondylitis,inflammation
leg numbness,nerve supplements,legs,neuropathy,diabetes-related
jaw pain,rest + warm compress,jaw,TMJ dysfunction,stress clenching
scalp flakes,medicated lotion,scalp,seborrheic dermatitis,oily scalp
joint redness,uric acid control therapy,joints,gout,diet rich in meat
abdominal tenderness,antibiotics,abdomen,diverticulitis,infection
eye irritation,lubricating drops,eyes,keratitis,contact lens use
excessive thirst,insulin therapy,body,diabetes,blood sugar imbalance
yellow nails,antifungal tablets,nails,fungal infection,moisture retention
finger stiffness,stretching exercises,hands,trigger finger,repetitive use
cough with blood,antibiotics,lungs,tuberculosis,chronic infection
facial numbness,physiotherapy,face,Bell’s palsy,viral cause
upper abdominal pain,enzyme supplements,abdomen,pancreatitis,alcohol intake
loss of hair patches,steroid cream,scalp,alopecia areata,autoimmune
chest pressure,nitrate + rest,chest,angina,heart condition
persistent sore throat,antibiotics,throat,chronic pharyngitis,irritation
rash with scaling,topical ointment,skin,eczema,dryness
itching with swelling,antihistamine,skin,angioedema,allergic reaction
lower limb swelling,compression bandage,legs,deep vein thrombosis,prolonged sitting
lower back ache,physiotherapy,spine,lumbar strain,posture issue
fatigue + low mood,antidepressant + rest,brain,mild depression,stress
swollen glands,antibiotic + rest,neck,lymphadenitis,infection
painful urination,antibiotic,urinary tract,UTI,hygiene issue
morning joint pain,steroid therapy,joints,lupus,autoimmune flare
eye redness + pain,steroid drops,eyes,uveitis,autoimmune inflammation
itching after shower,antihistamine,skin,cholinergic urticaria,temperature change
severe leg cramp,hydration + massage,legs,dehydration,heat exhaustion
abdominal bloating,enzyme + light diet,stomach,dyspepsia,overeating
chest tightness on exertion,oxygen + nitrate,lungs,pulmonary hypertension,chronic condition
dizziness after standing,salt tablets + rest,whole body,orthostatic hypotension,low BP
skin yellowing,rest + fluids,liver,jaundice,viral hepatitis
swollen joints,NSAID + physiotherapy,knees,psoriatic arthritis,skin condition link
